old|new|check
0.0|0.0|True
0.0|0.0|True
0.0|0.0|True
0.0|0.0|True
0.0|0.0|True
0.0|0.0|True
0.0|0.0|True
0.0|0.0|True
0.0|0.0|True
6632198.867089995|6632198.867089995|True
7201287.463079997|7201287.463079996|True
6323155.508110001|6323155.508110002|True
7320293.23436|7320293.234360001|True
8098602.840970002|8098602.84097|True
8696861.518300002|8696861.518300002|True
8599806.408620002|8599806.408620002|True
9166978.897249997|9166978.897249999|True
9238546.049649999|9238546.04965|True
9921849.81023|9921849.81023|True
10613779.90648|10613779.90648|True
11229178.898869999|11229178.898869999|True
11363851.564133996|11363851.564133998|True
11629367.173835007|11629367.173835007|True
14486861.335417999|14486861.335417999|True
3874809.1893370016|3874809.189337002|True
